step,eta_0.00_H_global,eta_0.25_H_global,eta_0.50_H_global,eta_0.75_H_global,eta_1.00_H_global,eta_0.00_H_tip,eta_0.25_H_tip,eta_0.50_H_tip,eta_0.75_H_tip,eta_1.00_H_tip
1,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,1.57017598e-06,4.16968574e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.08007559e-06,5.12936930e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,1.49547660e-05,9.59929984e-06,4.21734312e-06,0.00000000e+00,0.00000000e+00,2.38119709e-05,1.49222212e-05,5.97919480e-06,0.00000000e+00,0.00000000e+00
4,4.02697896e-05,3.00153343e-05,1.71639273e-05,3.26736120e-06,0.00000000e+00,6.58696403e-05,4.82976342e-05,2.67880939e-05,4.37232117e-06,0.00000000e+00
5,7.92336640e-05,6.28933138e-05,4.09289829e-05,1.22594510e-05,0.00000000e+00,1.31919850e-04,1.03314005e-04,6.57753903e-05,1.81130673e-05,0.00000000e+00
6,1.35031618e-04,1.10818723e-04,7.72852429e-05,2.91725111e-05,0.00000000e+00,2.27789111e-04,1.84873494e-04,1.26503990e-04,4.54482643e-05,0.00000000e+00
7,2.11608761e-04,1.77515879e-04,1.29023323e-04,5.61102815e-05,0.00000000e+00,3.60414416e-04,2.99809093e-04,2.14594712e-04,9.00944815e-05,0.00000000e+00
8,3.15787251e-04,2.68974929e-04,2.00950594e-04,9.57665189e-05,0.00000000e+00,5.41595622e-04,4.58532938e-04,3.38564724e-04,1.56934570e-04,0.00000000e+00
9,4.60708530e-04,3.95865562e-04,3.01142040e-04,1.52329261e-04,0.00000000e+00,7.92980378e-04,6.78773380e-04,5.12294768e-04,2.53645232e-04,0.00000000e+00
10,6.78240617e-04,5.81983231e-04,4.46613580e-04,2.34251591e-04,0.00000000e+00,1.16266628e-03,9.96499304e-04,7.62177696e-04,3.94600914e-04,0.00000000e+00
11,1.05563551e-03,8.94159332e-04,6.82183783e-04,3.62144396e-04,0.00000000e+00,1.76244290e-03,1.49891705e-03,1.14810234e-03,6.09197709e-04,0.00000000e+00
12,2.04493068e-03,1.64017722e-03,1.18701139e-03,6.05449525e-04,0.00000000e+00,3.01929550e-03,2.49166141e-03,1.85731569e-03,9.76498161e-04,0.00000000e+00
13,9.37434717e-02,1.88924109e-02,4.49599069e-03,1.40085525e-03,0.00000000e+00,3.43165977e-02,1.05631432e-02,4.45446073e-03,1.85181440e-03,0.00000000e+00
14,2.05189271e-01,2.19656362e-01,2.05839906e-01,9.98187688e-02,0.00000000e+00,2.00452904e-01,1.74904373e-01,1.48838173e-01,3.32638763e-02,0.00000000e+00
