step,u_bar,tip_ref,tip_miehe16,tip_bourdin16,err_miehe,err_bourdin
1,6.00000000e-04,0.515625,0.515625,0.515625,0.000000,0.000000
2,1.20000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
3,1.80000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
4,2.40000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
5,3.00000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
6,3.60000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
7,4.20000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
8,4.80000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
9,5.40000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
10,6.00000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
11,6.60000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
12,7.20000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
13,7.80000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
14,8.40000000e-03,0.515625,0.515625,0.531250,0.000000,0.015625
15,9.00000000e-03,0.515625,0.546875,0.531250,0.031250,0.015625
16,9.60000000e-03,0.531250,0.562500,0.546875,0.031250,0.015625
17,1.02000000e-02,0.562500,0.578125,0.609375,0.015625,0.046875
18,1.08000000e-02,0.640625,0.593750,0.703125,0.046875,0.062500
19,1.14000000e-02,0.734375,0.609375,0.828125,0.125000,0.093750
20,1.20000000e-02,0.875000,0.625000,0.968750,0.250000,0.093750
21,1.26000000e-02,1.000000,0.656250,1.000000,0.343750,0.000000
22,1.32000000e-02,1.000000,0.750000,1.000000,0.250000,0.000000
23,1.38000000e-02,1.000000,0.921875,1.000000,0.078125,0.000000
24,1.44000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
25,1.50000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
26,1.38000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
27,1.26000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
28,1.14000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
29,1.02000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
30,9.00000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
31,7.80000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
32,6.60000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
33,5.40000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
34,4.20000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
35,3.00000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
36,4.10000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
37,5.20000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
38,6.30000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
39,7.40000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
40,8.50000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
41,9.60000000e-03,1.000000,1.000000,1.000000,0.000000,0.000000
42,1.07000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
43,1.18000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
44,1.29000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
45,1.40000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
46,1.51000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
47,1.62000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
48,1.73000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
49,1.84000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
50,1.95000000e-02,1.000000,1.000000,1.000000,0.000000,0.000000
