step,grid_8_d_global,grid_16_d_global,grid_32_d_global,rbf_200_d_global,grid_8_d_tip,grid_16_d_tip,grid_32_d_tip,rbf_200_d_tip
1,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,1.91307075e-01,1.18383572e-01,6.28384605e-02,9.63679446e-02,4.20436958e-01,2.51353590e-01,1.32046631e-01,1.99215893e-01
3,1.90715444e-01,1.18185490e-01,6.29356658e-02,9.43303728e-02,4.19284167e-01,2.50794710e-01,1.31991276e-01,1.99343523e-01
4,1.89897283e-01,1.17763130e-01,6.30262348e-02,9.35160709e-02,4.17698711e-01,2.49847503e-01,1.31843826e-01,1.98314613e-01
5,1.88842736e-01,1.17126371e-01,6.32163847e-02,9.26523535e-02,4.15669967e-01,2.48534447e-01,1.31760990e-01,1.96879386e-01
6,1.87540562e-01,1.16222830e-01,6.34921275e-02,9.16420826e-02,4.13175888e-01,2.46767495e-01,1.31719531e-01,1.95042490e-01
7,1.85977338e-01,1.15017821e-01,6.37926786e-02,9.05350253e-02,4.10190622e-01,2.44475252e-01,1.31642225e-01,1.92858643e-01
8,1.84136255e-01,1.13486331e-01,6.40276630e-02,8.93523551e-02,4.06683106e-01,2.41600849e-01,1.31416117e-01,1.90359739e-01
9,1.81984081e-01,1.11588012e-01,6.40615426e-02,8.81028635e-02,4.02599341e-01,2.38070380e-01,1.30865748e-01,1.87559451e-01
10,1.79470900e-01,1.09261730e-01,6.37259617e-02,8.68149034e-02,3.97863283e-01,2.33787153e-01,1.29762799e-01,1.84549439e-01
11,1.76505360e-01,1.06391220e-01,6.28032382e-02,8.55229672e-02,3.92346193e-01,2.28587238e-01,1.27802276e-01,1.81368705e-01
12,1.72903231e-01,1.07251978e-01,6.09664592e-02,8.42852770e-02,3.85810478e-01,2.22175803e-01,1.24536593e-01,1.78077751e-01
13,1.68209398e-01,1.05517405e-01,8.44576064e-02,8.32668138e-02,3.77727301e-01,2.16998330e-01,1.44091130e-01,1.74803807e-01
14,1.60832839e-01,9.90710115e-02,7.77512193e-02,8.32512628e-02,3.66083799e-01,2.18487839e-01,1.50894365e-01,1.71823503e-01
15,1.27761741e-01,5.12645532e-02,3.54101316e-02,1.16297243e-01,3.05334813e-01,1.40318236e-01,9.95605416e-02,1.97920616e-01
16,1.19798853e-01,4.19474482e-02,3.59501683e-02,1.26803002e-01,2.60069823e-01,9.05223778e-02,9.61766449e-02,2.48752489e-01
17,1.17650867e-01,5.03544151e-02,4.61379653e-02,1.34387627e-01,2.50448111e-01,1.37336010e-01,1.38278787e-01,2.82240934e-01
18,1.23728987e-01,5.97917618e-02,4.78287288e-02,1.45111259e-01,2.82027491e-01,1.46735526e-01,5.66948120e-02,3.36070219e-01
19,1.28364777e-01,6.84747383e-02,4.87458425e-02,1.58056167e-01,2.53082362e-01,1.46559457e-01,5.51543408e-02,3.42484428e-01
20,1.40186142e-01,7.90930826e-02,5.83254816e-02,1.71522526e-01,3.04071236e-01,1.47219112e-01,5.53077697e-02,3.43593925e-01
21,1.45423785e-01,7.93359199e-02,3.82570830e-02,1.79971229e-01,3.17537274e-01,1.47469899e-01,5.53658894e-02,3.44259775e-01
22,1.53685792e-01,7.97502864e-02,3.84436909e-02,1.80740171e-01,3.18479976e-01,1.47605102e-01,5.53853891e-02,3.44754110e-01
23,1.63731580e-01,7.97829690e-02,3.84498313e-02,1.81756268e-01,3.18647549e-01,1.47711098e-01,5.54002978e-02,3.45119626e-01
24,1.63770309e-01,7.98070492e-02,3.84548338e-02,1.83031443e-01,3.18699815e-01,1.47802978e-01,5.54129084e-02,3.45401490e-01
25,1.63807528e-01,7.98276492e-02,3.84588338e-02,1.84603379e-01,3.18745178e-01,1.47883498e-01,5.54237222e-02,3.45581573e-01
26,1.63844990e-01,7.98147722e-02,3.84662413e-02,1.84804315e-01,3.18792701e-01,1.47800117e-01,5.54354921e-02,3.46213797e-01
27,1.63845108e-01,7.97670243e-02,3.84667093e-02,1.84871308e-01,3.18792944e-01,1.47677606e-01,5.54368153e-02,3.46417086e-01
28,1.63845413e-01,7.96907157e-02,3.84679139e-02,1.84902319e-01,3.18793570e-01,1.47512216e-01,5.54402063e-02,3.46548246e-01
29,1.63846121e-01,7.95846938e-02,3.84706585e-02,1.84919237e-01,3.18795020e-01,1.47282635e-01,5.54479146e-02,3.46635720e-01
30,1.63847778e-01,7.94313204e-02,3.84767917e-02,1.84929313e-01,3.18798386e-01,1.46951122e-01,5.54651030e-02,3.46696176e-01
31,1.63852045e-01,7.91967223e-02,3.84910187e-02,1.84935238e-01,3.18806909e-01,1.46447334e-01,5.55048548e-02,3.46739595e-01
32,1.63868777e-01,7.88048940e-02,3.85273105e-02,1.84939148e-01,3.18835114e-01,1.45615384e-01,5.56056595e-02,3.46771962e-01
33,1.64480592e-01,7.80088619e-02,3.86404718e-02,1.84942076e-01,3.20143100e-01,1.43974379e-01,5.59146073e-02,3.46796922e-01
34,1.64480198e-01,7.15503988e-02,3.93985923e-02,1.84944530e-01,3.20143100e-01,1.29050106e-01,5.76796950e-02,3.46816748e-01
35,1.64480198e-01,7.15503988e-02,5.43647307e-02,1.84946765e-01,3.20143100e-01,1.29050106e-01,9.59420358e-02,3.46832898e-01
