step,grid_8_H_global,grid_16_H_global,grid_32_H_global,rbf_200_H_global,grid_8_H_tip,grid_16_H_tip,grid_32_H_tip,rbf_200_H_tip,grid_8_d_global,grid_16_d_global,grid_32_d_global,rbf_200_d_global
1,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,3.58116541e-06,1.57017598e-06,0.00000000e+00,0.00000000e+00,5.77818257e-06,2.08007559e-06,0.00000000e+00,0.00000000e+00,6.02967206e-05,1.82547902e-05,0.00000000e+00,0.00000000e+00
3,2.80500171e-05,1.49547660e-05,2.35988936e-06,4.63777453e-06,4.93405192e-05,2.38119709e-05,3.17229182e-06,4.40613043e-06,5.22395448e-04,2.18024671e-04,2.74917605e-05,8.16195971e-05
4,7.40558867e-05,4.02697896e-05,1.07106106e-05,1.87976871e-05,1.33234570e-04,6.58696403e-05,1.46819622e-05,2.68249825e-05,1.40083506e-03,6.06146914e-04,1.25710769e-04,3.50047455e-04
5,1.43891253e-04,7.92336640e-05,2.55051644e-05,4.63983254e-05,2.61566870e-04,1.31919850e-04,3.53807796e-05,7.50548294e-05,2.72434544e-03,1.22286792e-03,3.01116106e-04,8.83561226e-04
6,2.41723519e-04,1.35031618e-04,4.74218832e-05,9.16602872e-05,4.41720508e-04,2.27789111e-04,6.65439481e-05,1.60228703e-04,4.55753310e-03,2.11512800e-03,5.63225295e-04,1.76242953e-03
7,3.75372842e-04,2.11608761e-04,7.77248087e-05,1.59078564e-04,6.86901705e-04,3.60414416e-04,1.13046807e-04,2.90637668e-04,7.01981875e-03,3.33596769e-03,9.63880596e-04,3.06316692e-03
8,5.57297341e-04,3.15787251e-04,1.20665335e-04,2.54764691e-04,1.01826375e-03,5.41595622e-04,1.82749972e-04,4.77133829e-04,1.02865738e-02,4.97888001e-03,1.56673114e-03,4.88365314e-03
9,8.09960565e-04,4.60708530e-04,1.82057432e-04,3.87532151e-04,1.47289705e-03,7.92980378e-04,2.84969634e-04,7.34413657e-04,1.46460680e-02,7.22985953e-03,2.43704763e-03,7.35112325e-03
10,1.18018553e-03,6.78240617e-04,2.71959628e-04,5.72011181e-04,2.12322071e-03,1.16266628e-03,4.36461388e-04,1.08608352e-03,2.06368310e-02,1.04654830e-02,3.71346547e-03,1.06581397e-02
11,1.79744875e-03,1.05563551e-03,4.15370639e-04,8.35444769e-04,3.14619714e-03,1.76244290e-03,6.72445352e-04,1.57560699e-03,2.94867630e-02,1.54474924e-02,5.60850440e-03,1.51144278e-02
12,3.35107721e-03,2.04493068e-03,7.00248807e-04,1.24531473e-03,5.24530561e-03,3.01929550e-03,1.09122601e-03,2.30275749e-03,4.51939411e-02,2.47426440e-02,8.68179556e-03,2.13229509e-02
13,1.42361642e-01,9.37434717e-02,1.75547632e-03,2.11376988e-03,7.42299163e-02,3.43165977e-02,2.18115266e-03,3.67244658e-03,1.09748413e-01,8.43457695e-02,1.55735423e-02,3.09553352e-02
14,2.51145695e-01,2.05189271e-01,1.70595164e-01,2.62705062e-01,1.68524647e-01,2.00452904e-01,7.60234494e-02,6.37777473e-02,2.62474998e-01,1.56751651e-01,7.77541169e-02,7.70057449e-02
15,2.32322299e-01,1.86680155e-01,1.77609813e-01,7.13534277e-01,2.12176205e-01,2.79576456e-01,2.26981513e-01,5.63689734e-01,2.73137215e-01,1.67602096e-01,5.89445427e-02,2.96684493e-01
16,4.73258845e-01,2.84359387e-01,5.62760230e-01,7.92798074e-01,9.78421601e-01,5.83373301e-01,5.74033054e-01,7.11766334e-01,2.97279695e-01,1.94993653e-01,9.27414182e-02,4.17788795e-01
17,9.59023775e-01,7.71709943e-01,3.96779610e-01,1.28338359e+00,1.73347115e+00,6.81058663e-01,6.00942994e-01,7.70207454e-01,3.37966100e-01,2.21102054e-01,1.27507914e-01,4.95262842e-01
18,1.28888809e+00,7.50477751e-01,5.37101319e-01,1.77707667e+00,2.20034213e+00,1.09753362e+00,5.82082263e-01,1.24741351e+00,3.68474837e-01,2.45212144e-01,1.59271789e-01,5.49053519e-01
19,1.58538808e+00,1.17600712e+00,8.70057338e-01,2.21525521e+00,2.51367095e+00,2.07102675e+00,9.26597651e-01,2.16657201e+00,3.93078461e-01,2.72195892e-01,1.87437995e-01,6.05827175e-01
20,1.98536746e+00,1.78744787e+00,1.22215441e+00,2.62001628e+00,3.10767967e+00,2.91782750e+00,1.47136431e+00,2.97836770e+00,4.15485144e-01,3.00131592e-01,2.13997007e-01,6.27857491e-01
21,2.71802670e+00,2.60968433e+00,1.58099890e+00,3.29444607e+00,3.62161996e+00,3.51818321e+00,1.99819937e+00,3.54630602e+00,4.37728583e-01,3.27262216e-01,2.39782343e-01,6.38940585e-01
22,2.95256339e+00,2.79204813e+00,1.92080795e+00,3.57131842e+00,3.93611783e+00,3.56143926e+00,2.49408754e+00,3.88052104e+00,4.51092958e-01,3.38335589e-01,2.65920667e-01,6.50548131e-01
23,3.24053944e+00,2.56056397e+00,2.42266044e+00,3.90025574e+00,4.30343502e+00,2.90758403e+00,3.04601500e+00,4.26827204e+00,4.63580679e-01,3.49695192e-01,2.91492297e-01,6.60781845e-01
24,3.53835967e+00,2.61613241e+00,2.78154448e+00,4.36537294e+00,4.68451569e+00,3.57987248e+00,3.51995145e+00,4.67586825e+00,4.75305365e-01,3.74286013e-01,3.13185262e-01,6.72572260e-01
25,3.84795344e+00,3.31384523e+00,3.10214031e+00,4.77597974e+00,5.08027329e+00,4.36889249e+00,3.94808011e+00,5.17803786e+00,4.86383420e-01,4.07115470e-01,3.32234862e-01,7.13016151e-01
26,3.86819947e+00,3.65525445e+00,3.34677172e+00,4.61744961e+00,5.13775215e+00,4.49336164e+00,4.20989411e+00,5.25198397e+00,4.96972220e-01,4.35824997e-01,3.49022747e-01,7.28452121e-01
27,3.88040014e+00,3.65450344e+00,3.44453431e+00,4.53071181e+00,5.18420052e+00,4.53198082e+00,4.37970914e+00,5.27304117e+00,5.07053545e-01,4.57592046e-01,3.64154758e-01,7.46613451e-01
28,3.88835739e+00,3.66559022e+00,3.50426694e+00,4.45269406e+00,5.22058613e+00,4.59630450e+00,4.50213440e+00,5.29514546e+00,5.16623724e-01,4.76705193e-01,3.77897943e-01,7.59533576e-01
29,3.89294014e+00,3.68300739e+00,3.54822348e+00,4.40019656e+00,5.24295553e+00,4.66859140e+00,4.59579895e+00,5.31560955e+00,5.25746719e-01,4.92944706e-01,3.90503213e-01,7.67970580e-01
30,3.89711594e+00,3.70305095e+00,3.58195553e+00,4.37000594e+00,5.26347442e+00,4.73914940e+00,4.67009435e+00,5.33333130e+00,5.34481681e-01,5.07453244e-01,4.02155980e-01,7.74060340e-01
31,3.90105701e+00,3.72314615e+00,3.60878666e+00,4.35630005e+00,5.28290404e+00,4.80389803e+00,4.73084868e+00,5.34804067e+00,5.42876915e-01,5.20789165e-01,4.12992763e-01,7.79262824e-01
32,3.90476593e+00,3.74205404e+00,3.63077056e+00,4.35292970e+00,5.30123276e+00,4.86150270e+00,4.78172086e+00,5.35456543e+00,5.50970199e-01,5.33119782e-01,4.23122387e-01,7.83651163e-01
