cycle,alpha_max,f_min,alpha_err_B,alpha_err_C,d_err_B,d_err_C
0.1000,2.50649927e-02,9.75428531e-01,1.59378202e-07,1.59378202e-07,5.34954389e-02,5.34954389e-02
0.2000,9.06859957e-02,9.15481790e-01,4.51182676e-03,4.48420338e-03,5.61867701e-02,5.61867701e-02
0.3000,1.71798016e-01,8.49159157e-01,1.63810374e-02,1.60276417e-02,5.89529078e-02,5.89529078e-02
0.4000,2.37419019e-01,8.00946982e-01,3.11893973e-02,2.99510038e-02,6.17539798e-02,6.17539798e-02
0.5000,2.62484012e-01,7.83678020e-01,4.33986911e-02,4.10728784e-02,6.45597228e-02,6.45597228e-02
0.6000,2.62484012e-01,7.83678020e-01,4.84909651e-02,4.56595394e-02,6.73473611e-02,6.73473611e-02
0.7000,2.62484012e-01,7.83678020e-01,4.91229515e-02,4.62533389e-02,7.00998927e-02,7.00998927e-02
0.8000,2.62484012e-01,7.83678020e-01,4.97588252e-02,4.68482995e-02,7.28047468e-02,7.28047468e-02
0.9000,2.62484012e-01,7.83678020e-01,5.03951269e-02,4.74419536e-02,7.54527492e-02,7.54527492e-02
1.0000,2.62484012e-01,7.83678020e-01,5.10289203e-02,4.80321728e-02,7.80373311e-02,7.80373311e-02
1.1000,2.87549004e-01,7.66997173e-01,5.16577333e-02,4.86171373e-02,8.05539266e-02,8.05539266e-02
1.2000,3.53170007e-01,7.25917880e-01,5.67185362e-02,5.31575571e-02,8.29995120e-02,8.29995120e-02
1.3000,4.34282028e-01,6.79812018e-01,6.90327095e-02,6.39736886e-02,8.53722534e-02,8.53722534e-02
1.4000,4.99903031e-01,6.45842779e-01,8.42868584e-02,7.69746155e-02,8.76712366e-02,8.76712366e-02
1.5000,5.24968023e-01,6.33579290e-01,9.69982168e-02,8.75203399e-02,8.98962574e-02,8.98962574e-02
1.6000,5.24968023e-01,6.33579290e-01,1.02678025e-01,9.22252362e-02,9.20476602e-02,9.20476602e-02
1.7000,5.24968023e-01,6.33579290e-01,1.03929128e-01,9.33076096e-02,9.41262112e-02,9.41262112e-02
1.8000,5.24968023e-01,6.33579290e-01,1.05164330e-01,9.43740544e-02,9.61329995e-02,9.61329995e-02
1.9000,5.24968023e-01,6.33579290e-01,1.06380494e-01,9.54228792e-02,9.80693595e-02,9.80693595e-02
2.0000,5.24968023e-01,6.33579290e-01,1.07575051e-01,9.64526655e-02,9.99368090e-02,9.99368090e-02
2.1000,5.50033016e-01,6.21684182e-01,1.08745929e-01,9.74622464e-02,1.01737001e-01,1.01737001e-01
2.2000,6.15654019e-01,5.92179640e-01,1.14261959e-01,1.02029001e-01,1.03471684e-01,1.03471684e-01
2.3000,6.96766039e-01,5.58696367e-01,1.26907673e-01,1.12270303e-01,1.05142672e-01,1.05142672e-01
