step,u_bar,F_ref_miehe,F_ref_bourdin,F_miehe_grid_8,F_bourdin_grid_8,F_miehe_grid_16,F_bourdin_grid_16,F_miehe_grid_32,F_bourdin_grid_32,F_miehe_rbf_200,F_bourdin_rbf_200
1,6.00000000e-04,1.34639359e-01,1.34639365e-01,1.34639359e-01,1.34639365e-01,1.34639359e-01,1.34639365e-01,1.34639359e-01,1.34639365e-01,1.34639359e-01,1.34639365e-01
2,1.20000000e-03,2.68907610e-01,2.68907746e-01,2.68895668e-01,1.56107759e-01,2.68903897e-01,1.98026501e-01,2.68907610e-01,2.44446284e-01,2.68907610e-01,2.57956544e-01
3,1.80000000e-03,4.02433891e-01,4.02434658e-01,4.02269237e-01,2.33736787e-01,4.02368163e-01,2.96091771e-01,4.02425427e-01,3.65200745e-01,4.02415678e-01,3.86793744e-01
4,2.40000000e-03,5.34847842e-01,5.34850402e-01,5.34241322e-01,3.10847063e-01,5.34602452e-01,3.93256556e-01,5.34795880e-01,4.84320357e-01,5.34725141e-01,5.14961920e-01
5,3.00000000e-03,6.65779392e-01,6.65785866e-01,6.64281794e-01,3.87262860e-01,6.65153783e-01,4.89299407e-01,6.65622621e-01,6.01127439e-01,6.65359356e-01,6.42572717e-01
6,3.60000000e-03,7.94857600e-01,7.94871421e-01,7.91799823e-01,4.62816524e-01,7.93536195e-01,5.84111338e-01,7.94502543e-01,7.15060819e-01,7.93796139e-01,7.69570867e-01
7,4.20000000e-03,9.21692825e-01,9.21722276e-01,9.16116248e-01,5.37342776e-01,9.19232848e-01,6.77577662e-01,9.20974555e-01,8.25711898e-01,9.19459487e-01,8.95669695e-01
8,4.80000000e-03,1.04591056e+00,1.04596399e+00,1.03637780e+00,6.10679958e-01,1.04161857e+00,7.69565337e-01,1.04455586e+00,9.32782213e-01,1.04171266e+00,1.02050421e+00
9,5.40000000e-03,1.16707215e+00,1.16716708e+00,1.15141359e+00,6.82670517e-01,1.15984109e+00,8.59926896e-01,1.16464731e+00,1.03612464e+00,1.15973311e+00,1.14364534e+00
10,6.00000000e-03,1.28470501e+00,1.28486628e+00,1.25923183e+00,7.53164303e-01,1.27249464e+00,9.48505564e-01,1.28045260e+00,1.13574226e+00,1.27244123e+00,1.26491554e+00
11,6.60000000e-03,1.39819000e+00,1.39845907e+00,1.35547139e+00,8.22014867e-01,1.37682750e+00,1.03514999e+00,1.39076030e+00,1.23173208e+00,1.37814983e+00,1.38412294e+00
12,7.20000000e-03,1.50657726e+00,1.50701184e+00,1.42447349e+00,8.89083806e-01,1.46364950e+00,1.04555239e+00,1.49293888e+00,1.32421528e+00,1.47363886e+00,1.50094838e+00
13,7.80000000e-03,1.60778524e+00,1.60854480e+00,1.07581283e+00,9.54235644e-01,1.21011875e+00,1.05453047e+00,1.57630204e+00,1.11284378e+00,1.54959190e+00,1.61513678e+00
14,8.40000000e-03,1.69339041e+00,1.69431471e+00,9.38408165e-01,1.00452173e+00,9.99881497e-01,9.81077360e-01,1.17991527e+00,1.11299424e+00,1.29160504e+00,1.72632632e+00
15,9.00000000e-03,1.38977617e+00,1.32955377e+00,9.08708965e-01,1.04088310e+00,9.83377536e-01,1.02460839e+00,1.04295935e+00,1.03376439e+00,7.07401700e-01,1.83417992e+00
16,9.60000000e-03,1.13330569e+00,1.14188688e+00,8.83429713e-01,1.03301310e+00,9.94075583e-01,1.04404044e+00,1.03478314e+00,1.00204807e+00,4.66677974e-01,1.93863675e+00
17,1.02000000e-02,1.08613401e+00,1.07252966e+00,8.43134683e-01,1.05498343e+00,9.99144761e-01,9.57625553e-01,9.96131413e-01,9.02168447e-01,2.42831492e-01,2.03941711e+00
18,1.08000000e-02,9.50971975e-01,9.12837083e-01,7.96052919e-01,1.08493404e+00,9.99760589e-01,7.89621655e-01,8.67734741e-01,7.27237394e-01,1.10860269e-01,2.13647373e+00
19,1.14000000e-02,7.34874440e-01,6.69499131e-01,7.61757459e-01,9.58032070e-01,1.00213293e+00,5.48228855e-01,6.60276395e-01,4.79237128e-01,6.85810096e-02,2.22965412e+00
20,1.20000000e-02,4.49615818e-01,3.54588073e-01,7.47544400e-01,7.03761078e-01,1.00636982e+00,2.22774555e-01,3.88159369e-01,7.13773707e-02,5.38613305e-02,2.31866068e+00
21,1.26000000e-02,5.98230552e-03,5.04443337e-03,7.38143085e-01,3.64663223e-01,1.00492750e+00,8.71875383e-03,1.92876823e-03,5.05691473e-03,4.85935229e-02,2.40348220e+00
22,1.32000000e-02,5.04166098e-03,4.38460572e-03,7.30194150e-01,4.27200588e-03,7.90045094e-01,8.24112785e-03,1.31441762e-03,4.39935852e-03,4.54998113e-02,2.48377834e+00
23,1.38000000e-02,4.40066757e-03,3.83662359e-03,7.22311071e-01,3.72061734e-03,3.35549435e-01,7.61453598e-03,1.26324463e-03,3.85234742e-03,4.11281624e-02,2.55935729e+00
24,1.44000000e-02,3.86613074e-03,3.37787566e-03,7.14184518e-01,3.26971794e-03,1.51705202e-03,6.96766834e-03,1.25273021e-03,3.39357965e-03,1.19159945e-02,2.63004695e+00
25,1.50000000e-02,3.41806781e-03,2.99072752e-03,7.05590206e-01,2.88961066e-03,9.22701336e-04,6.39515996e-03,1.25582078e-03,3.00588864e-03,7.29155662e-03,2.69581877e+00
26,1.38000000e-02,3.14332315e-03,2.75140000e-03,6.20354034e-01,3.32011792e-03,7.68764633e-04,7.22723809e-03,1.10618022e-03,3.43637220e-03,5.52319987e-03,2.48134955e+00
27,1.26000000e-02,2.86999070e-03,2.51214782e-03,5.43651966e-01,3.96394694e-03,6.77006723e-04,7.72839426e-03,9.89995184e-04,4.06017234e-03,4.35522505e-03,2.26610545e+00
28,1.14000000e-02,2.59665825e-03,2.27289565e-03,4.72367783e-01,4.92709844e-03,5.97791143e-04,8.27898577e-03,8.84827786e-04,4.98391213e-03,3.52009108e-03,2.05050907e+00
29,1.02000000e-02,2.32332580e-03,2.03364348e-03,4.06105799e-01,6.43348968e-03,5.25480169e-04,9.32567287e-03,7.84181109e-04,6.40189670e-03,2.84472795e-03,1.83477387e+00
30,9.00000000e-03,2.04999336e-03,1.79439130e-03,3.44470395e-01,8.94639379e-03,4.57223045e-04,1.12479657e-02,6.86656595e-04,8.68735209e-03,2.32610718e-03,1.61896971e+00
31,7.80000000e-03,1.77666091e-03,1.55513913e-03,2.87110334e-01,1.37560258e-02,3.91808133e-04,1.49863911e-02,5.91401194e-04,1.26280067e-02,1.90267991e-03,1.40313840e+00
32,6.60000000e-03,1.50332846e-03,1.31588696e-03,2.33711098e-01,2.64190021e-02,3.28472259e-04,2.29950037e-02,4.97751055e-04,2.01738697e-02,1.52663955e-03,1.18728904e+00
33,5.40000000e-03,1.22999601e-03,1.07663478e-03,1.83995640e-01,1.64799612e-01,2.66702027e-04,4.34892634e-02,4.05340193e-04,3.74168285e-02,1.19921304e-03,9.71427963e-01
34,4.20000000e-03,9.56663566e-04,8.37382608e-04,1.37724659e-01,1.28177260e-01,2.06119711e-04,3.50124240e-01,3.13952182e-04,1.10374139e-01,9.00070436e-04,7.55559588e-01
35,3.00000000e-03,6.83331119e-04,5.98130434e-04,9.46824170e-02,9.15551858e-02,1.46436763e-04,2.50088743e-01,2.23422776e-04,3.77187714e-01,6.22490152e-04,5.39687035e-01
36,4.10000000e-03,9.33885862e-04,8.17444927e-04,1.24547854e-01,1.25125421e-01,1.99196904e-04,3.41787948e-01,3.04341788e-04,5.15489875e-01,8.25220786e-04,7.37572859e-01
37,5.20000000e-03,1.18444061e-03,1.03675942e-03,1.52042036e-01,1.58695655e-01,2.51605167e-04,4.33486900e-01,3.84862110e-04,6.53784605e-01,1.01615098e-03,9.35457463e-01
38,6.30000000e-03,1.43499535e-03,1.25607391e-03,1.77295536e-01,1.92265537e-01,3.03717991e-04,5.25164918e-01,4.65039761e-04,5.23270358e-01,1.19804590e-03,1.13334036e+00
39,7.40000000e-03,1.68555009e-03,1.47538840e-03,2.00434712e-01,2.25834452e-01,3.55568668e-04,1.70675287e-02,5.44914851e-04,1.45929805e-02,1.37148231e-03,1.33122126e+00
40,8.50000000e-03,1.93610484e-03,1.69470290e-03,2.21578995e-01,7.27437577e-02,4.07187749e-04,1.25157354e-02,6.24512475e-04,1.00661578e-02,1.53823252e-03,1.52909998e+00
41,9.60000000e-03,2.18665958e-03,1.91401739e-03,2.40845496e-01,7.53256844e-03,4.58601630e-04,1.01596811e-02,7.03859954e-04,7.40327167e-03,1.69853492e-03,1.72697645e+00
42,1.07000000e-02,2.43721432e-03,2.13333188e-03,2.58350094e-01,5.72869249e-03,5.09828183e-04,8.81891551e-03,7.82983069e-04,5.73345942e-03,1.85130225e-03,1.92485062e+00
43,1.18000000e-02,2.68776907e-03,2.35264638e-03,2.74197001e-01,4.56313686e-03,5.60886500e-04,8.05635042e-03,8.61906899e-04,4.63333826e-03,2.01483553e-03,2.12271549e+00
44,1.29000000e-02,2.93832381e-03,2.57196087e-03,2.88478219e-01,3.78014584e-03,6.11773597e-04,7.64434835e-03,9.40657905e-04,3.88146124e-03,2.18230976e-03,2.32051844e+00
45,1.40000000e-02,3.18887855e-03,2.79127536e-03,3.01254807e-01,3.23502868e-03,6.62446419e-04,7.07653587e-03,1.01924489e-03,3.35318312e-03,2.34890026e-03,2.51806615e+00
46,1.51000000e-02,3.34930640e-03,2.93210414e-03,3.12550437e-01,2.81849904e-03,7.12792910e-04,6.30234058e-03,1.09762696e-03,2.94552768e-03,2.51131221e-03,2.70526206e+00
